id,text,category,difficulty,char_count,source_type,enabled
1,난리자베스,trend,2,5,trend-inspired,True
2,야르,trend,1,2,trend-inspired,True
3,할렐야루,trend,1,4,trend-inspired,True
4,커터칼퇴근,trend,2,5,trend-inspired,True
5,동결건조,trend,1,4,trend-inspired,True
6,기대컨,trend,1,3,trend-inspired,True
7,책없쾌,trend,1,3,trend-inspired,True
8,깊대,trend,1,2,trend-inspired,True
9,둠스크롤링,trend,2,5,trend-inspired,True
10,도파밍,trend,1,3,trend-inspired,True
11,감다살,trend,1,3,trend-inspired,True
12,폼 미쳤다,trend,2,4,trend-inspired,True
13,가보자고,trend,1,4,trend-inspired,True
14,이건 못 참지,trend,3,5,trend-inspired,True
15,오히려 좋아,trend,2,5,trend-inspired,True
16,좋았어 자연스러웠어,trend,3,9,trend-inspired,True
17,완전 럭키,trend,2,4,trend-inspired,True
18,오늘도 레전드,trend,2,6,trend-inspired,True
19,이게 되네,trend,2,4,trend-inspired,True
20,이왜진,trend,1,3,trend-inspired,True
21,갑자기 분위기,trend,2,6,trend-inspired,True
22,진짜 최종,trend,2,4,trend-inspired,True
23,최종의 최종,trend,2,5,trend-inspired,True
24,소소하지만 확실한 행복,trend,3,10,trend-inspired,True
25,일단 저장,trend,2,4,trend-inspired,True
26,일단 캡처,trend,2,4,trend-inspired,True
27,일단 가보자,trend,2,5,trend-inspired,True
28,나만 알고 싶다,trend,3,6,trend-inspired,True
29,제법인데,trend,1,4,trend-inspired,True
30,이건 된다,trend,2,4,trend-inspired,True
31,감 잡았다,trend,2,4,trend-inspired,True
32,느낌 왔다,trend,2,4,trend-inspired,True
33,바로 이거지,trend,2,5,trend-inspired,True
34,이 맛이지,trend,2,4,trend-inspired,True
35,성공적,trend,1,3,trend-inspired,True
36,완벽했다,trend,1,4,trend-inspired,True
37,대성공,trend,1,3,trend-inspired,True
38,오늘 폼 좋다,trend,3,5,trend-inspired,True
39,컨디션 최고,trend,2,5,trend-inspired,True
40,타이밍 좋았다,trend,2,6,trend-inspired,True
41,센스 있다,trend,2,4,trend-inspired,True
42,이건 인정,trend,2,4,trend-inspired,True
43,오늘도 해냈다,trend,2,6,trend-inspired,True
44,슬슬 시동 건다,trend,3,6,trend-inspired,True
45,제대로 시작한다,trend,2,7,trend-inspired,True
46,집중 모드,trend,2,4,trend-inspired,True
47,몰입 완료,trend,2,4,trend-inspired,True
48,준비 완료,trend,2,4,trend-inspired,True
49,출발합니다,trend,2,5,trend-inspired,True
50,속도 붙었다,trend,2,5,trend-inspired,True
51,리듬 탔다,trend,2,4,trend-inspired,True
52,손 풀렸다,trend,2,4,trend-inspired,True
53,감각 살아났다,trend,2,6,trend-inspired,True
54,오늘 느낌 좋다,trend,3,6,trend-inspired,True
55,한 번 더 간다,trend,3,5,trend-inspired,True
56,이번엔 진짜다,trend,2,6,trend-inspired,True
57,침착하게 가자,trend,2,6,trend-inspired,True
58,끝까지 간다,trend,2,5,trend-inspired,True
59,아직 안 끝났다,trend,3,6,trend-inspired,True
60,역전 가보자,trend,2,5,trend-inspired,True
61,막판 스퍼트,trend,2,5,trend-inspired,True
62,한 끗 차이,trend,3,4,trend-inspired,True
63,아슬아슬 성공,trend,2,6,trend-inspired,True
64,간발의 차이,trend,2,5,trend-inspired,True
65,눈치 게임 시작,trend,3,6,trend-inspired,True
66,먼저 잡았다,trend,2,5,trend-inspired,True
67,내가 찜했다,trend,2,5,trend-inspired,True
68,이건 내 거,trend,3,4,trend-inspired,True
69,선점 완료,trend,2,4,trend-inspired,True
70,빠르게 캐치,trend,2,5,trend-inspired,True
71,캐치 성공,trend,2,4,trend-inspired,True
72,콤보 시작,trend,2,4,trend-inspired,True
73,콤보 유지,trend,2,4,trend-inspired,True
74,콤보 폭발,trend,2,4,trend-inspired,True
75,기세 좋다,trend,2,4,trend-inspired,True
76,흐름 좋다,trend,2,4,trend-inspired,True
77,페이스 좋다,trend,2,5,trend-inspired,True
78,집중력 상승,trend,2,5,trend-inspired,True
79,순간 포착,trend,2,4,trend-inspired,True
80,정확히 입력,trend,2,5,trend-inspired,True
81,고양이,word,1,3,original,True
82,강아지,word,1,3,original,True
83,햄스터,word,1,3,original,True
84,토끼,word,1,2,original,True
85,여우,word,1,2,original,True
86,판다,word,1,2,original,True
87,수달,word,1,2,original,True
88,펭귄,word,1,2,original,True
89,돌고래,word,1,3,original,True
90,기린,word,1,2,original,True
91,얼룩말,word,1,3,original,True
92,다람쥐,word,1,3,original,True
93,붕어빵,word,1,3,original,True
94,호떡,word,1,2,original,True
95,떡볶이,word,1,3,original,True
96,김밥,word,1,2,original,True
97,라면,word,1,2,original,True
98,만두,word,1,2,original,True
99,우동,word,1,2,original,True
100,냉면,word,1,2,original,True
101,비빔밥,word,1,3,original,True
102,김치전,word,1,3,original,True
103,핫도그,word,1,3,original,True
104,샌드위치,word,1,4,original,True
105,초콜릿,word,1,3,original,True
106,마카롱,word,1,3,original,True
107,푸딩,word,1,2,original,True
108,젤리,word,1,2,original,True
109,쿠키,word,1,2,original,True
110,도넛,word,1,2,original,True
111,케이크,word,1,3,original,True
112,아이스크림,word,2,5,original,True
113,딸기,word,1,2,original,True
114,복숭아,word,1,3,original,True
115,수박,word,1,2,original,True
116,포도,word,1,2,original,True
117,커피,word,1,2,original,True
118,라테,word,1,2,original,True
119,주스,word,1,2,original,True
120,레모네이드,word,2,5,original,True
121,탄산수,word,1,3,original,True
122,우유,word,1,2,original,True
123,요구르트,word,1,4,original,True
124,보리차,word,1,3,original,True
125,물방울,word,1,3,original,True
126,눈사람,word,1,3,original,True
127,무지개,word,1,3,original,True
128,별빛,word,1,2,original,True
129,달빛,word,1,2,original,True
130,햇살,word,1,2,original,True
131,노을,word,1,2,original,True
132,구름,word,1,2,original,True
133,바람,word,1,2,original,True
134,소나기,word,1,3,original,True
135,첫눈,word,1,2,original,True
136,파도,word,1,2,original,True
137,모래성,word,1,3,original,True
138,숲길,word,1,2,original,True
139,꽃길,word,1,2,original,True
140,지하철,word,1,3,original,True
141,버스,word,1,2,original,True
142,택시,word,1,2,original,True
143,자전거,word,1,3,original,True
144,기차,word,1,2,original,True
145,비행기,word,1,3,original,True
146,횡단보도,word,1,4,original,True
147,정류장,word,1,3,original,True
148,운동장,word,1,3,original,True
149,놀이터,word,1,3,original,True
150,도서관,word,1,3,original,True
151,미술관,word,1,3,original,True
152,키보드,word,1,3,original,True
153,마우스,word,1,3,original,True
154,모니터,word,1,3,original,True
155,이어폰,word,1,3,original,True
156,스피커,word,1,3,original,True
157,충전기,word,1,3,original,True
158,노트북,word,1,3,original,True
159,스마트폰,word,1,4,original,True
160,카메라,word,1,3,original,True
161,리모컨,word,1,3,original,True
162,알람,word,1,2,original,True
163,메모장,word,1,3,original,True
164,게임,word,1,2,original,True
165,퀘스트,word,1,3,original,True
166,보너스,word,1,3,original,True
167,콤보,word,1,2,original,True
168,미션,word,1,2,original,True
169,스테이지,word,1,4,original,True
170,레벨업,word,1,3,original,True
171,아이템,word,1,3,original,True
172,보물상자,word,1,4,original,True
173,체크포인트,word,2,5,original,True
174,스피드,word,1,3,original,True
175,타이밍,word,1,3,original,True
176,출발,word,1,2,original,True
177,도착,word,1,2,original,True
178,성공,word,1,2,original,True
179,도전,word,1,2,original,True
180,집중,word,1,2,original,True
181,정확,word,1,2,original,True
182,순간,word,1,2,original,True
183,반전,word,1,2,original,True
184,역전,word,1,2,original,True
185,승부,word,1,2,original,True
186,기회,word,1,2,original,True
187,행운,word,1,2,original,True
188,우당탕탕,word,1,4,original,True
189,알쏭달쏭,word,1,4,original,True
190,아슬아슬,word,1,4,original,True
191,두근두근,word,1,4,original,True
192,반짝반짝,word,1,4,original,True
193,말랑말랑,word,1,4,original,True
194,폭신폭신,word,1,4,original,True
195,바삭바삭,word,1,4,original,True
196,쫀득쫀득,word,1,4,original,True
197,보글보글,word,1,4,original,True
198,빙글빙글,word,1,4,original,True
199,폴짝폴짝,word,1,4,original,True
200,살금살금,word,1,4,original,True
201,쌩쌩,word,1,2,original,True
202,씽씽,word,1,2,original,True
203,슝슝,word,1,2,original,True
204,톡톡,word,1,2,original,True
205,팡팡,word,1,2,original,True
206,찰칵,word,1,2,original,True
207,딩동,word,1,2,original,True
208,짜잔,word,1,2,original,True
209,두둥,word,1,2,original,True
210,오늘 뭐 먹지,curated,3,5,original,True
211,점심 메뉴 고민 중,curated,3,7,original,True
212,퇴근까지 조금만 더,curated,3,8,original,True
213,주말이 기다려진다,curated,3,8,original,True
214,집에 가고 싶다,curated,3,6,original,True
215,배고프면 집중이 안 된다,curated,3,10,original,True
216,커피가 필요한 시간,curated,3,8,original,True
217,간식 먹고 다시 시작,curated,3,8,original,True
218,오늘 날씨 정말 좋다,curated,3,8,original,True
219,우산 챙기는 걸 깜빡했다,curated,3,10,original,True
220,충전기를 두고 왔다,curated,3,8,original,True
221,이어폰이 어디 갔지,curated,3,8,original,True
222,분명 여기 뒀는데,curated,3,7,original,True
223,한 번만 더 확인하자,curated,3,8,original,True
224,메모해두길 잘했다,curated,3,8,original,True
225,생각보다 금방 끝났다,curated,3,9,original,True
226,조금 늦어도 괜찮아,curated,3,8,original,True
227,오늘 할 일은 오늘 끝내자,curated,3,10,original,True
228,좋은 생각이 떠올랐다,curated,3,9,original,True
229,갑자기 여행 가고 싶다,curated,3,9,original,True
230,창밖을 보니 노을이 예쁘다,curated,3,11,original,True
231,바람이 시원하게 분다,curated,3,9,original,True
232,따뜻한 차가 생각난다,curated,3,9,original,True
233,붕어빵은 머리부터 먹을까,curated,3,11,original,True
234,민트초코는 어려운 문제다,curated,3,11,original,True
235,라면 물 맞추기가 제일 어렵다,curated,3,12,original,True
236,치킨은 언제나 좋은 선택,curated,3,10,original,True
237,떡볶이에는 튀김이 필요하다,curated,3,12,original,True
238,김밥 한 줄이면 든든하다,curated,3,10,original,True
239,냉면은 여름에 더 맛있다,curated,3,10,original,True
240,아이스크림이 녹기 시작했다,curated,3,12,original,True
241,정답은 가까이에 있다,curated,3,9,original,True
242,힌트를 하나 발견했다,curated,3,9,original,True
243,왼쪽을 먼저 확인해,curated,3,8,original,True
244,오른쪽에 뭔가 있다,curated,3,8,original,True
245,뒤를 조심해,curated,2,5,original,True
246,지금이 바로 기회다,curated,3,8,original,True
247,다음 목표를 찾아라,curated,3,8,original,True
248,이번 목표는 내가 잡는다,curated,3,10,original,True
249,먼저 입력하면 내 점수,curated,3,9,original,True
250,정확도가 속도보다 중요하다,curated,3,12,original,True
251,빠르고 정확하게 입력,curated,3,9,original,True
252,한 글자도 놓치지 마,curated,3,8,original,True
253,오타 없이 끝까지,curated,3,7,original,True
254,손가락 준비 완료,curated,3,7,original,True
255,키보드 준비 완료,curated,3,7,original,True
256,삼 초 뒤에 시작합니다,curated,3,9,original,True
257,하나 둘 셋 출발,curated,3,6,original,True
258,마지막 십 초 남았다,curated,3,8,original,True
259,역전은 지금부터다,curated,3,8,original,True
260,끝날 때까지 끝난 게 아니다,curated,3,11,original,True
261,접시를 정확히 맞혀라,curated,3,9,original,True
262,풍선을 먼저 터뜨려라,curated,3,9,original,True
263,보물을 찾아 문을 열어라,curated,3,10,original,True
264,좀비가 가까이 다가온다,curated,3,10,original,True
265,레이스 선두를 따라잡아라,curated,3,11,original,True
266,왕관을 끝까지 지켜라,curated,3,9,original,True
267,보스의 약점을 찾아라,curated,3,9,original,True
268,팀원과 힘을 합쳐라,curated,3,8,original,True
